start,end,speaker,text
359.0,360.0,SPEAKER_03, Yeah.
360.0,361.0,SPEAKER_03, So you pop up the speaker characterization yet.
361.0,364.0,SPEAKER_03, You have to first define what happens when you click on the user.
364.0,367.52,SPEAKER_05," With that speaker characterization, that's what we call the"
367.52,369.0,SPEAKER_03, other thing. Yeah.
369.0,372.0,SPEAKER_03, So should we try to do a right click when you're in it?
372.0,373.0,SPEAKER_03, Yeah.
373.0,374.0,SPEAKER_02, All right.
374.0,376.0,SPEAKER_06," Well, is that just from the main?"
376.0,377.0,SPEAKER_06, No.
377.0,385.0,SPEAKER_06," Even if it's one, because I have a particular window, like if we want to try to get like it were on the users versus like a topic or something."
385.0,387.0,SPEAKER_06, Have a right to come from these various things.
387.0,388.0,SPEAKER_03, Yeah.
388.0,389.0,SPEAKER_03, Wait.
389.0,390.0,SPEAKER_03, Yeah.
390.0,391.0,SPEAKER_03, There's a second thing about the topics.
391.0,392.0,SPEAKER_03, The topic window.
392.0,398.0,SPEAKER_03," Somehow, click, be able to click on the topic and it pops up with all the meetings that contain that."
398.0,399.0,SPEAKER_03, Right.
399.0,400.0,SPEAKER_03, Yeah.
400.0,402.0,SPEAKER_03, So we could do that in a similar way to it right click as well.
402.0,403.0,SPEAKER_03, Okay.
403.0,404.0,SPEAKER_03, So this does it for a little bit.
404.0,405.0,SPEAKER_05, It's a different role.
405.0,406.0,SPEAKER_05, Yeah.
406.0,410.0,SPEAKER_05, Only the speaker.
410.0,421.0,SPEAKER_03, So we have basically two options of browsing the meetings is by either searching and opening individual observations.
421.0,424.0,SPEAKER_03, And then we have the interlinking by right click.
424.0,425.0,SPEAKER_06, Okay.
425.0,426.0,SPEAKER_06, Right.
426.0,427.0,SPEAKER_06, Actually.
427.0,428.0,SPEAKER_06, Yeah.
428.0,435.0,SPEAKER_06," Like another company like if we have it so set up that's, if you double click and it goes to a default thing on the menu, I mean that's kind of a typical kind of action."
435.0,436.0,SPEAKER_06, Double click.
436.0,440.0,SPEAKER_06, If you double click on a particular topic or something that goes to sort of like a default.
440.0,452.0,SPEAKER_06," Do you, so it will be like all the cases of that topic either, whatever you decide the default to be, whether it's in all meetings or just in one meeting and just short from particular instances of that topic."
452.0,459.0,SPEAKER_06," And just think to have the default there, so if somebody knows exactly what they want to do and we know that that's the most common thing that's going to happen."
459.0,461.0,SPEAKER_06, So the don't want to do that in such a different role.
461.0,463.0,SPEAKER_06, Right clicking and choosing the other one.
463.0,467.0,SPEAKER_03," I don't see that anything obvious that would be able to, that would be,"
467.0,469.0,SPEAKER_06, might come to us. Or quite with it.
469.0,470.0,SPEAKER_05, What was that?
470.0,471.0,SPEAKER_05, And then it got into that.
471.0,475.0,SPEAKER_06," And you mean, like we have to, the right click menu, you know, right click."
475.0,478.0,SPEAKER_06," But instead of like, how did you fall double click?"
478.0,480.0,SPEAKER_06," So there's a, there will be a choice."
480.0,483.0,SPEAKER_06," Because it has the most common, the exact use that we're doing."
483.0,486.0,SPEAKER_02," Like, show their speaker characters."
486.0,487.0,SPEAKER_02, Yeah.
487.0,490.0,SPEAKER_03, But then there's a problem with a lot of one that's popping up again.
490.0,494.0,SPEAKER_03," And they pop up without you even being quite sure what it is, you know."
494.0,495.0,SPEAKER_06, Yeah.
495.0,502.0,SPEAKER_02," But if you do double click on something, don't you expect something to happen?"
502.0,503.0,SPEAKER_02, Yeah.
503.0,506.0,SPEAKER_02, So sometimes I don't like a stick.
506.0,507.0,SPEAKER_00, I'll go away.
507.0,509.0,SPEAKER_00, I'll come in closer.
509.0,510.0,SPEAKER_00, Yeah.
510.0,511.0,SPEAKER_00," It's not, it's nothing."
511.0,512.0,SPEAKER_00, It's not.
512.0,514.0,SPEAKER_00, It's actually very touchpad.
514.0,515.0,SPEAKER_00, Yeah.
515.0,517.0,SPEAKER_00, It's almost like a touchpad.
517.0,521.0,SPEAKER_03, I'll check what it does on double click at the moment.
521.0,522.0,SPEAKER_03, Yeah.
522.0,524.0,SPEAKER_03, Because I think it won't do something.
524.0,525.0,SPEAKER_03, So it's not.
525.0,526.0,SPEAKER_01, It's better.
526.0,530.0,SPEAKER_03," I don't, I don't, I really don't see anything obvious that."
530.0,531.0,SPEAKER_03, I don't know.
531.0,534.0,SPEAKER_03, I don't know if you can think of something like that.
534.0,535.0,SPEAKER_03, Yeah.
535.0,536.0,SPEAKER_03, Okay.
536.0,537.0,SPEAKER_03, So.
537.0,538.0,SPEAKER_03, Okay.
538.0,539.0,SPEAKER_03, So.
539.0,540.0,SPEAKER_02, So.
540.0,541.0,SPEAKER_02, Okay.
541.0,542.0,SPEAKER_02, So.
542.0,543.0,SPEAKER_02, So.
543.0,544.0,SPEAKER_02, So.
544.0,545.0,SPEAKER_02, Please.
545.0,546.0,SPEAKER_03, Yeah.
546.0,547.0,SPEAKER_02, What you're clicking on.
547.0,548.0,SPEAKER_02," Oh, sorry."
548.0,549.0,SPEAKER_03," Um, yeah."
549.0,550.0,SPEAKER_03, Another thing.
550.0,551.0,SPEAKER_03, Single audio files.
551.0,552.0,SPEAKER_03, Do we want to use them?
552.0,553.0,SPEAKER_03, Okay.
553.0,554.0,SPEAKER_03, We don't know yet.
554.0,555.0,SPEAKER_03, Do we?
555.0,558.0,SPEAKER_03, Do we want to use them?
558.0,559.0,SPEAKER_05, We don't know yet.
559.0,560.0,SPEAKER_05, Do we?
560.0,561.0,SPEAKER_05, Do you mean single channel?
561.0,562.0,SPEAKER_05, Yeah.
562.0,563.0,SPEAKER_03, Single channel.
563.0,564.0,SPEAKER_03, Then single channel files.
564.0,565.0,SPEAKER_03, Do we want them?
565.0,566.0,SPEAKER_05," I mean, probably not."
566.0,569.0,SPEAKER_05," But I mean, we might need them for the splinses."
569.0,570.0,SPEAKER_05, If we can go to our video.
570.0,571.0,SPEAKER_03, Yeah.
571.0,572.0,SPEAKER_03, Yeah.
572.0,573.0,SPEAKER_03, Yeah.
573.0,574.0,SPEAKER_03, But you might use them at the moment.
574.0,575.0,SPEAKER_03, To work with them.
575.0,578.0,SPEAKER_03," But do we want to integrate them so that when you browse, we can."
578.0,581.0,SPEAKER_05," We might want to be able to say, oh, just give me what that person's saying."
581.0,582.0,SPEAKER_03, Do you though?
582.0,583.0,SPEAKER_03, No.
583.0,584.0,SPEAKER_03, I'm going to say it's a few at least until I say it.
584.0,585.0,SPEAKER_03, Okay.
585.0,586.0,SPEAKER_05, Yeah.
586.0,590.0,SPEAKER_05," So, I'm going to say, you can't hear it probably or something, so I'm going to talk about something like something like that."
590.0,593.0,SPEAKER_05," Which is saying that for now, I'm going to put it in the wrong."
593.0,594.0,SPEAKER_05, Yeah.
594.0,595.0,SPEAKER_01, Yeah.
595.0,596.0,SPEAKER_01, Cool.
596.0,597.0,SPEAKER_01, Yeah.
597.0,598.0,SPEAKER_05," Otherwise, it will decrease."
598.0,601.0,SPEAKER_05," It will increase in that 30 minute, I'm not going to."
601.0,602.0,SPEAKER_05, Yeah.
602.0,603.0,SPEAKER_05, Before.
603.0,604.0,SPEAKER_05, Yeah.
604.0,605.0,SPEAKER_02, Before.
605.0,606.0,SPEAKER_06, Yeah.
606.0,612.0,SPEAKER_03," And yeah, what do people think in general about the Windows Cluttering?"
612.0,613.0,SPEAKER_03, That you can mention.
613.0,619.0,SPEAKER_06, Do you think we call it a need that don't tap the full flexibility we need to have.
619.0,620.0,SPEAKER_06, That's why I've got this all.
620.0,625.0,SPEAKER_03," I mean, I remember very much I want to have everything customizable."
625.0,631.0,SPEAKER_06," Well, the thing is typically though, if someone could have five windows open at the same time, probably not."
631.0,632.0,SPEAKER_03, Probably not.
632.0,635.0,SPEAKER_03, Two or three of whatever they're looking at with dialogues.
635.0,636.0,SPEAKER_03, Yeah.
636.0,637.0,SPEAKER_03," But yeah, it depends."
637.0,639.0,SPEAKER_03," I mean, I really want to put the summary in somewhere."
639.0,646.0,SPEAKER_03," And in the summary, for example, a stippable, you open in the window, you read through it, you might click up, you know, close it yet straight away."
646.0,647.0,SPEAKER_03, Yeah.
647.0,648.0,SPEAKER_02, But it'd be good to have it.
648.0,649.0,SPEAKER_02, I think it's fun.
649.0,650.0,SPEAKER_02, But it could be.
650.0,658.0,SPEAKER_02," I mean, you probably, I don't know if you want to have like the full transcription and the summary at the same time."
658.0,663.0,SPEAKER_02, So maybe you can just like choose the same window for transcription and memory.
663.0,665.0,SPEAKER_06, It's like have a town there.
665.0,666.0,SPEAKER_02, There's no question.
666.0,667.0,SPEAKER_02," Oh, yeah."
667.0,668.0,SPEAKER_02, Yeah.
668.0,669.0,SPEAKER_02, Yeah.
669.0,670.0,SPEAKER_05, Yeah.
670.0,671.0,SPEAKER_03, It's a nice.
671.0,672.0,SPEAKER_03, Yeah.
672.0,673.0,SPEAKER_03, Yeah.
673.0,674.0,SPEAKER_03, That's right.
674.0,675.0,SPEAKER_03, I'm not sure.
675.0,676.0,SPEAKER_03, Yeah.
676.0,677.0,SPEAKER_03, I don't know.
677.0,678.0,SPEAKER_03, I don't know.
678.0,679.0,SPEAKER_03, I don't know.
679.0,680.0,SPEAKER_03, I don't know.
680.0,681.0,SPEAKER_03, Probably can.
681.0,682.0,SPEAKER_03, I'm sure.
682.0,683.0,SPEAKER_03, I'm sure you could do anything.
683.0,685.0,SPEAKER_05," If you read, you know, you're doing, you know, I don't know."
685.0,688.0,SPEAKER_05," It's a bit of a cripple which I always have been knowing to, okay."
688.0,689.0,SPEAKER_05, Maybe sometimes.
689.0,692.0,SPEAKER_05, It's a bit of a couple.
692.0,693.0,SPEAKER_03, I can have a look.
693.0,694.0,SPEAKER_06, Yeah.
694.0,695.0,SPEAKER_02, Yeah.
695.0,696.0,SPEAKER_02, Yeah.
696.0,697.0,SPEAKER_02, Yeah.
697.0,698.0,SPEAKER_02, Yeah.
698.0,701.0,SPEAKER_02, That might be nice to have a content.
701.0,702.0,SPEAKER_02, So this is a window.
702.0,703.0,SPEAKER_02, Yeah.
703.0,704.0,SPEAKER_02, Yeah.
704.0,705.0,SPEAKER_06, Yeah.
705.0,706.0,SPEAKER_05, Yeah.
706.0,707.0,SPEAKER_02, Yeah.
707.0,709.0,SPEAKER_06, We're even just have buttons on it.
709.0,710.0,SPEAKER_06, Totally buttons or something on the toolbar.
710.0,711.0,SPEAKER_06, That window.
711.0,712.0,SPEAKER_06, Hmm.
712.0,713.0,SPEAKER_06, That's something.
713.0,714.0,SPEAKER_01, Yeah.
714.0,715.0,SPEAKER_06, I don't know.
715.0,716.0,SPEAKER_06, It doesn't have to be a town.
716.0,717.0,SPEAKER_01," No, no."
717.0,718.0,SPEAKER_06, It could be like transcription.
718.0,719.0,SPEAKER_06, Yeah.
719.0,720.0,SPEAKER_06, Like transcription.
720.0,721.0,SPEAKER_02, Yeah.
721.0,722.0,SPEAKER_02, Like two photos.
722.0,723.0,SPEAKER_02, Yeah.
723.0,724.0,SPEAKER_02, Yeah.
724.0,725.0,SPEAKER_02, Yeah.
725.0,726.0,SPEAKER_05, For a check.
726.0,727.0,SPEAKER_05, We're happy to have a window.
727.0,728.0,SPEAKER_05, Yeah.
728.0,729.0,SPEAKER_05, Yeah.
729.0,730.0,SPEAKER_05, We're a geese member of windows.
730.0,731.0,SPEAKER_05," No, you wouldn't."
731.0,733.0,SPEAKER_05, You could have a photo shop has a lot of windows.
733.0,736.0,SPEAKER_05," If you have a geese photo shop, it's got loads and you're always good forever going."
736.0,737.0,SPEAKER_05, I'll get out of the way.
737.0,738.0,SPEAKER_05, There's always stuff in the way.
738.0,739.0,SPEAKER_05, Yeah.
739.0,742.0,SPEAKER_03," But I mean, people get used to it."
742.0,747.0,SPEAKER_03," When you use a windows or a new-neck square, you have a window's open."
747.0,748.0,SPEAKER_03, You do manage them.
748.0,749.0,SPEAKER_05, Yeah.
749.0,750.0,SPEAKER_05, Yeah.
750.0,751.0,SPEAKER_04, Yeah.
751.0,752.0,SPEAKER_05, Yeah.
752.0,753.0,SPEAKER_05, Yeah.
753.0,756.0,SPEAKER_05," Unless Katie, I thought I suppose you can minimize them and stuff like that."
756.0,757.0,SPEAKER_05," Yeah, you can minimize them."
757.0,758.0,SPEAKER_03," Katie, that."
758.0,759.0,SPEAKER_03, Yeah.
759.0,760.0,SPEAKER_05, Okay.
760.0,761.0,SPEAKER_05, That was a lot of it.
761.0,762.0,SPEAKER_05, Of course you can.
762.0,767.0,SPEAKER_06," Like a lot of these can be, like once we get the disfloots out, then we can, you know, transcript with the, the disfloots."
767.0,768.0,SPEAKER_06," Yeah, that's true."
768.0,769.0,SPEAKER_06, Yeah.
769.0,770.0,SPEAKER_06, That's true.
770.0,775.0,SPEAKER_06, They're all in sort of using the same window and so we don't have to be the same window.
775.0,776.0,SPEAKER_06, Yeah.
776.0,779.0,SPEAKER_06," Usually, just because the tools are."
779.0,780.0,SPEAKER_03, Yeah.
780.0,781.0,SPEAKER_03, Yeah.
781.0,782.0,SPEAKER_03, That was a plan for the dysphonuses anyway.
782.0,783.0,SPEAKER_03, Yeah.
783.0,784.0,SPEAKER_02," So, yeah."
784.0,787.0,SPEAKER_03, Do you want to do that with some reason?
787.0,790.0,SPEAKER_03, Put the summaries in the same window.
790.0,791.0,SPEAKER_03, Me tree.
791.0,792.0,SPEAKER_02, Yeah.
792.0,794.0,SPEAKER_02," Well, I don't know."
794.0,795.0,SPEAKER_02, With transcripts.
795.0,798.0,SPEAKER_02, It sounds reasonable to have like transcripts.
798.0,803.0,SPEAKER_02," Maybe three else or an instance, like full meeting, meeting without dyspluses and summaries."
803.0,804.0,SPEAKER_02, Yeah.
804.0,805.0,SPEAKER_03, Yeah.
805.0,806.0,SPEAKER_03, Do you want to do that?
806.0,807.0,SPEAKER_03, Yeah.
807.0,808.0,SPEAKER_05, Yeah.
808.0,813.0,SPEAKER_03, Yeah.
813.0,815.0,SPEAKER_01, Yeah.
815.0,816.0,SPEAKER_02, Yeah.
816.0,817.0,SPEAKER_03, Yeah.
817.0,823.0,SPEAKER_03," And for the late prototype, he's a bit of a little more kind of prototype could be pretty used."
823.0,824.0,SPEAKER_06, I need a few more.
824.0,830.0,SPEAKER_03," Because I'm, I'm just, you know, I go to the lab and I'm like, what am I going to change today?"
830.0,832.0,SPEAKER_03," You know, any kind of just, it just develops."
832.0,835.0,SPEAKER_03, I'm not aiming for anything.
835.0,837.0,SPEAKER_03, Do we want to answer something?
837.0,838.0,SPEAKER_05, Yeah.
838.0,843.0,SPEAKER_03," Um, I'm pretty much getting there anyway."
843.0,844.0,SPEAKER_03, Do you know?
844.0,846.0,SPEAKER_03, It's not going to be a lot more.
846.0,847.0,SPEAKER_03, I guess it is.
847.0,855.0,SPEAKER_02," I mean, just to try and, I mean, for us to be able to do something, then we can include the third thing."
855.0,856.0,SPEAKER_02, Yeah.
856.0,857.0,SPEAKER_05," So, yeah."
857.0,860.0,SPEAKER_05, Something just slightly more than just that on some sort of important moment.
860.0,861.0,SPEAKER_02, Yeah.
861.0,863.0,SPEAKER_02," Just so silly, educational work."
863.0,864.0,SPEAKER_02," So, we can do it."
864.0,865.0,SPEAKER_02, Okay.
865.0,866.0,SPEAKER_05, Yeah.
866.0,867.0,SPEAKER_05, Definitely.
867.0,871.0,SPEAKER_02," Um, so I guess that's what I'm doing."
871.0,875.0,SPEAKER_05, I think that's kind of what he meant as well as we're taking it sort of started.
875.0,876.0,SPEAKER_05, That's what I'm just thinking.
876.0,879.0,SPEAKER_05," Well, that's kind of, I'm trying to talk with the gerry."
879.0,880.0,SPEAKER_02, Yeah.
880.0,887.0,SPEAKER_02," Well, I guess, I mean, that was probably our intention, but my name is written at the time."
887.0,888.0,SPEAKER_02, Yeah.
888.0,889.0,SPEAKER_02, Yeah.
889.0,890.0,SPEAKER_00, I know.
890.0,891.0,SPEAKER_00, Yeah.
891.0,892.0,SPEAKER_06, Yeah.
892.0,900.0,SPEAKER_06," Actually, just the code accessible, like the GUI stuff that you've done, like can we just like copy and like play this stuff, like your directory."
900.0,903.0,SPEAKER_06," Um, like if we're going to just try and take a look or something."
903.0,904.0,SPEAKER_06, I don't know if you can access some of the people's.
904.0,913.0,SPEAKER_04," You can make it well-rated, but if you just tell us the directory and just make the file readable and wait, and I'll be directly to get it in."
913.0,914.0,SPEAKER_03, Yeah.
914.0,915.0,SPEAKER_03, Sure.
915.0,917.0,SPEAKER_03," I don't know if it's readable at the moment, but you can show that."
917.0,918.0,SPEAKER_05, I think I default there aren't.
918.0,920.0,SPEAKER_05," No, they're not well-rated, but they're not well-rated."
920.0,921.0,SPEAKER_05, They're not well-rated.
921.0,922.0,SPEAKER_05, They're not well-rated.
922.0,923.0,SPEAKER_05, They're only default.
923.0,924.0,SPEAKER_05, Only you can read them.
924.0,925.0,SPEAKER_05," Oh, right."
925.0,926.0,SPEAKER_05," You can see them, but you can read them."
926.0,928.0,SPEAKER_03," I'll make that read them, will they?"
928.0,929.0,SPEAKER_03, Yeah.
929.0,932.0,SPEAKER_03, So the directory is my number.
932.0,933.0,SPEAKER_03, Wait for just email.
933.0,934.0,SPEAKER_06, It's my number.
934.0,935.0,SPEAKER_06, Yeah.
935.0,936.0,SPEAKER_03, Yeah.
936.0,937.0,SPEAKER_03," Well, this is not difficult."
937.0,938.0,SPEAKER_03, Right.
938.0,939.0,SPEAKER_03, Once you're on the email.
939.0,940.0,SPEAKER_03, Yeah.
940.0,941.0,SPEAKER_03, Yeah.
941.0,942.0,SPEAKER_03, You're on the email.
942.0,943.0,SPEAKER_03, No.
943.0,944.0,SPEAKER_03," Oh, for."
944.0,945.0,SPEAKER_03, You can.
945.0,946.0,SPEAKER_03," Oh, for."
946.0,947.0,SPEAKER_03," For five, five, five."
947.0,948.0,SPEAKER_03," For six, oh."
948.0,949.0,SPEAKER_03," For five, five, six, oh."
949.0,950.0,SPEAKER_03," For five, five, six, oh."
950.0,951.0,SPEAKER_03, And then it's.
951.0,959.0,SPEAKER_03, And then there's a folder and an LSSD.
959.0,962.0,SPEAKER_03, And it's called the end browser.
962.0,963.0,SPEAKER_05, The end browser.
963.0,964.0,SPEAKER_05, Yes.
964.0,965.0,SPEAKER_05, What would it be?
965.0,966.0,SPEAKER_05, End browser.
966.0,967.0,SPEAKER_05, Yes.
967.0,968.0,SPEAKER_05, And it's probably not.
968.0,969.0,SPEAKER_05," I mean, you never have to look in my directory."
969.0,970.0,SPEAKER_05, It's just pure chaos.
970.0,971.0,SPEAKER_05, No.
971.0,973.0,SPEAKER_03," No, I was dreaming of it."
974.0,976.0,SPEAKER_03, I've got a lot of starting the other phone.
976.0,977.0,SPEAKER_05, The one is two.
977.0,978.0,SPEAKER_05, It's quite awesome.
978.0,979.0,SPEAKER_05, So.
979.0,980.0,SPEAKER_05, That's everyone.
980.0,981.0,SPEAKER_05, That's everyone.
986.0,987.0,SPEAKER_03, Yeah.
987.0,988.0,SPEAKER_03, So that's me doing someone else more.
988.0,989.0,SPEAKER_03, I told that I saw.
992.0,993.0,SPEAKER_00, The final jumper one.
993.0,996.0,SPEAKER_02, Can you tell me what I'm in this bit.
996.0,997.0,SPEAKER_02, Yeah.
997.0,998.0,SPEAKER_02, I told you.
998.0,1000.0,SPEAKER_02, Oh.
1000.0,1001.0,SPEAKER_02, I don't know.
1001.0,1004.0,SPEAKER_02, I basically started browsing a bit.
1004.0,1009.0,SPEAKER_02," Just like, I see if there's anything out there to use."
1009.0,1012.0,SPEAKER_02, What one do you need?
1012.0,1013.0,SPEAKER_02, Yes.
1013.0,1014.0,SPEAKER_02, I'll just search it.
